pc_time,esp_time,az
1771732459,223680,-0.47
1771732459,223730,2
1771732459,223780,1.655
1771732459,223830,0.181
1771732460,223880,0.675
1771732460,223930,0.781
1771732460,223980,1.625
1771732460,224030,0.775
1771732460,224080,0.463
1771732460,224130,1.384
1771732460,224180,0.438
1771732460,224230,0.9
1771732460,224280,1.926
1771732460,224330,1.307
1771732460,224380,0.627
1771732460,224430,1.774
1771732460,224480,1.633
1771732460,224530,2
1771732460,224580,0.891
1771732460,224630,0.823
1771732460,224680,1.258
1771732460,224730,1.078
1771732460,224780,1.043
1771732461,224830,1.021
1771732461,224880,1.003
1771732461,224930,1.013
1771732461,224980,1.023
1771732461,225030,1.032
1771732461,225080,1.018
1771732461,225130,1.022
1771732461,225180,1.026
1771732461,225230,1.02
1771732461,225280,1.027
1771732461,225330,1.017
1771732461,225380,1.018
1771732461,225430,1.026
1771732461,225480,1.03
1771732461,225530,1.021
1771732461,225580,1.12
1771732461,225630,1.013
1771732461,225680,1.381
1771732461,225730,1.094
1771732461,225780,0.885
1771732462,225830,1.576
1771732462,225880,1.474
1771732462,225930,0.913
1771732462,225980,0.349
1771732462,226030,0.829
1771732462,226080,0.934
1771732462,226130,0.607
1771732462,226180,2
1771732462,226230,1.007
1771732462,226280,0.887
1771732462,226330,0.372
1771732462,226380,0.42
1771732462,226430,0.256
1771732462,226480,1.793
1771732462,226530,0.604
1771732462,226580,2
1771732462,226630,0.086
1771732462,226680,2
1771732462,226730,1.602
1771732462,226780,0.218
1771732462,226830,1.221
1771732463,226880,1.805
1771732463,226930,1.234
1771732463,226980,1.436
1771732463,227030,0.374
1771732463,227080,0.571
1771732463,227130,2
1771732463,227180,0.699
1771732463,227230,0.333
1771732463,227280,0.008
1771732463,227330,1.317
1771732463,227380,1.859
1771732463,227430,1.896
1771732463,227480,1.19
1771732463,227530,1.029
1771732463,227580,0.959
1771732463,227630,0.804
1771732463,227680,2
1771732463,227730,0.107
1771732463,227780,-1.196
1771732463,227830,0.483
1771732464,227880,1.742
1771732464,227930,1.661
1771732464,227980,2
1771732464,228030,1.067
1771732464,228080,1.826
1771732464,228130,0.385
1771732464,228180,0.974
1771732464,228230,1.046
1771732464,228280,1.295
1771732464,228330,0.632
1771732464,228380,0.94
1771732464,228430,1.154
1771732464,228480,1.206
1771732464,228530,0.976
1771732464,228580,1.048
1771732464,228630,1.183
1771732464,228680,0.714
1771732464,228730,1
1771732464,228780,0.538
1771732465,228830,1.608
1771732465,228880,0.979
1771732465,228930,1.28
1771732465,228980,2
1771732465,229030,0.818
1771732465,229080,0.255
1771732465,229130,0.522
1771732465,229180,1.14
1771732465,229230,1.25
1771732465,229280,1.207
1771732465,229330,0.892
1771732465,229380,1.096
1771732465,229430,1.076
1771732465,229480,1.053
1771732465,229530,1.026
1771732465,229580,1.02
1771732465,229630,1.023
1771732465,229680,1.025
1771732466,229730,1.026
1771732466,229780,1.027
1771732466,229830,1.022
1771732466,229880,1.03
1771732466,229930,1.024
1771732466,229980,1.024
1771732466,230030,1.027
1771732466,230080,1.029
1771732466,230130,1.03
1771732466,230180,1.029
1771732466,230230,1.027
1771732466,230280,1.021
1771732466,230330,1.018
1771732466,230380,1.022
1771732466,230430,1.024
1771732466,230480,1.021
1771732467,230530,1.024
1771732467,230580,1.03
1771732467,230630,1.023
1771732467,230680,1.019
1771732467,230730,1.022
1771732467,230780,1.036
1771732467,230830,1.024
1771732467,230880,1.026
1771732467,230930,0.936
1771732467,230980,0.941
1771732467,231030,0.802
1771732467,231080,1.169
1771732467,231130,0.867
1771732467,231180,0.499
1771732467,231230,1.387
1771732467,231280,1.538
1771732467,231330,0.428
1771732467,231380,0.658
1771732467,231430,0.633
1771732468,231480,0.861
1771732468,231530,0.657
1771732468,231580,0.716
1771732468,231630,1.48
1771732468,231680,1.894
1771732468,231730,0.836
1771732468,231780,0.76
1771732468,231830,0.484
1771732468,231880,-0.25
1771732468,231930,1.225
1771732468,231980,0.459
1771732468,232030,1.831
1771732468,232080,0.133
1771732468,232130,1.049
1771732468,232180,0.576
1771732468,232230,1.699
