mean,std_val,rms,p2p,kurtosis,skew,energy,iqr,abs_mean,median,zcr,crest_factor,variance,max_abs,min_abs,label,source_file
1.0494,0.63038605,1.2241842,2.372,-0.79131097,-0.09463001,74.93135,0.9605,1.06864,1.0235,0.08,0.6120921,0.3973866,2.0,0.053,1,Dataset_Smooth.csv
1.04634,0.45264396,1.1400499,2.372,2.203134,-0.04432469,64.985695,0.018,1.06122,1.029,0.04,0.57002497,0.20488654,2.0,0.053,1,Dataset_Smooth.csv
0.90474,0.41307345,0.99457735,2.219,2.0548465,-0.37189454,49.459206,0.248,0.91902,1.0265,0.04,0.49728867,0.17062967,2.0,0.026,1,Dataset_Smooth.csv
0.8368,0.63675344,1.0515176,4.0,7.045944,-1.8179857,55.28446,0.4705,0.94904,1.024,0.08,0.5257588,0.40545493,2.0,0.026,1,Dataset_Smooth.csv
0.9349,0.56742364,1.0936214,3.914,14.1031475,-3.0809166,59.80038,0.1545,1.0335,1.028,0.08,0.5468107,0.32196957,2.0,0.016,1,Dataset_Smooth.csv
0.93228,0.5187397,1.0668819,2.608,0.9018059,-0.30899623,56.911842,0.502,0.95828,0.991,0.12,0.53344095,0.2690909,2.0,0.016,1,Dataset_Smooth.csv
0.99502,0.59736437,1.1605641,2.608,0.535836,-0.3073559,67.34545,0.55675,1.03826,1.029,0.12,0.58028203,0.3568442,2.0,0.026,1,Dataset_Smooth.csv
1.02194,0.4510518,1.1170537,2.447,2.545927,-0.37255418,62.390453,0.28775,1.03982,1.029,0.04,0.5585269,0.20344773,2.0,0.013,1,Dataset_Smooth.csv
0.93816,0.4170804,1.0266938,2.202,3.1278963,-1.3016077,52.705013,0.251,0.96788,1.0265,0.08,0.5716558,0.17395605,1.796,0.013,1,Dataset_Smooth.csv
0.95546,0.58686936,1.1213026,2.914,1.4341886,-1.0772563,62.865974,0.62925,1.02722,1.0295,0.18,0.5606513,0.34441563,2.0,0.022,1,Dataset_Smooth.csv
1.03816,0.74871457,1.2799803,2.914,-0.57799137,-0.4651574,81.91748,1.13725,1.10864,1.2275,0.18,0.63999015,0.5605735,2.0,0.022,1,Dataset_Smooth.csv
1.04108,0.6402637,1.222205,2.403,-0.5458653,-0.09706267,74.689255,0.9045,1.06952,1.0305,0.06,0.6111025,0.40993756,2.0,0.049,1,Dataset_Smooth.csv
1.00752,0.30450276,1.0525296,1.947,3.6778054,-0.032562133,55.390923,0.02375,1.00752,1.0295,0.0,0.52731943,0.09272193,1.996,0.049,1,Dataset_Smooth.csv
1.06566,0.5134832,1.1829185,2.909,4.336387,-1.233074,69.96481,0.23525,1.11646,1.0325,0.08,0.5914593,0.26366502,2.0,0.17,1,Dataset_Smooth.csv
1.10406,0.5556174,1.235985,2.909,2.99523,-1.0088226,76.38296,0.351,1.15486,1.0785,0.08,0.6179925,0.30871066,2.0,0.17,1,Dataset_Smooth.csv
1.08754,0.35822526,1.145019,1.829,1.7031566,0.450896,65.55343,0.251,1.08754,1.0355,0.0,0.5725095,0.12832533,2.0,0.171,1,Dataset_Smooth.csv
1.0203,0.43669313,1.1098256,1.975,0.2713193,0.028996566,61.585648,0.50125,1.0203,1.039,0.0,0.5549128,0.19070089,2.0,0.025,1,Dataset_Smooth.csv
1.07672,0.6351283,1.2500856,2.721,0.2436122,-0.61101997,78.1357,0.77675,1.12544,1.1665,0.08,0.6250428,0.403388,2.0,0.025,1,Dataset_Smooth.csv
1.0408,0.67880315,1.2425934,2.721,1.1191204,-1.0614233,77.20192,0.452,1.15048,1.1345,0.2,0.6212967,0.46077368,2.0,0.137,1,Dataset_Smooth.csv
0.94828,0.5803051,1.1117504,2.707,1.5620868,-0.8938705,61.79945,0.4705,1.0228,1.028,0.16,0.5558752,0.33675405,2.0,0.125,1,Dataset_Smooth.csv
1.03996,0.4403982,1.1293659,2.214,1.7130439,-0.17442876,63.77337,0.202,1.05352,1.03,0.04,0.56468296,0.19395056,2.0,0.125,1,Dataset_Smooth.csv
1.12202,0.2805942,1.1565734,1.371,2.444668,1.3867825,66.8831,0.15375,1.12202,1.0305,0.0,0.5782867,0.0787331,2.0,0.629,1,Dataset_Smooth.csv
1.14376,0.50679827,1.2510122,3.118,6.986465,-1.4859645,78.25157,0.4025,1.18848,1.0385,0.04,0.6255061,0.2568445,2.0,0.241,1,Dataset_Smooth.csv
0.95152,0.74845684,1.2106105,3.156,1.5261596,-1.083744,73.27889,0.45725,1.10856,1.0325,0.16,0.60530525,0.56018764,2.0,0.117,1,Dataset_Smooth.csv
0.88998,0.7023285,1.1337239,3.156,0.9507256,-0.7169537,64.26649,0.62325,1.0023,0.998,0.1,0.5668619,0.4932653,2.0,0.009,1,Dataset_Smooth.csv
0.9169,0.6134024,1.1031628,2.309,-0.69770026,0.06194044,60.848408,0.82275,0.94026,0.9855,0.1,0.5515814,0.37626258,2.0,0.007,1,Dataset_Smooth.csv
0.91876,0.46703067,1.0306491,2.309,1.1013104,-0.38931316,53.11188,0.41825,0.94212,1.0245,0.12,0.51532453,0.21811767,2.0,0.007,1,Dataset_Smooth.csv
1.12492,0.43080163,1.2045891,2.023,0.68104804,-0.16861099,72.55175,0.43825,1.12584,1.0375,0.04,0.60229456,0.18559003,2.0,0.009,1,Dataset_Smooth.csv
1.2159,0.47822267,1.3065641,2.023,0.091886036,-0.48389563,85.355484,0.60925,1.21682,1.2295,0.04,0.65328205,0.22869693,2.0,0.009,1,Dataset_Smooth.csv
1.06454,0.558511,1.2021564,2.136,-0.69913566,-0.2751859,72.259,0.96225,1.0747,1.0625,0.08,0.6010782,0.31193456,2.0,0.118,1,Dataset_Smooth.csv
0.93136,0.73492575,1.186401,2.815,-0.7765724,-0.18238404,70.377365,1.222,1.00372,0.9095,0.16,0.5932005,0.54011583,2.0,0.118,1,Dataset_Smooth.csv
0.9532,0.7742931,1.2280554,4.0,3.259908,-1.2356865,75.406006,0.81625,1.0954,1.0265,0.12,0.6140277,0.59952986,2.0,0.13,1,Dataset_Smooth.csv
0.99688,0.551795,1.1394066,4.0,17.114122,-3.000589,64.91237,0.10575,1.07688,1.0285,0.04,0.5697033,0.3044777,2.0,0.13,1,Dataset_Smooth.csv
1.038,0.42793402,1.1227517,2.478,2.4807131,-0.34834355,63.028576,0.4505,1.05712,1.0275,0.04,0.56137586,0.18312752,2.0,0.368,1,Dataset_Smooth.csv
